year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
2010,Alamo Square,291.18294547229095,372560,1239
2010,Anza Vista,267.9325826799483,372560,1239
2010,Bayview,170.09866536400102,372560,1239
2010,Buena Vista Park,347.39491940371136,372560,1239
2010,Central Richmond,319.0276225530687,372560,1239
2010,Central Sunset,418.1724927089675,372560,1239
2010,Corona Heights,369.3593380041366,372560,1239
2010,Cow Hollow,569.3799679261333,372560,1239
2010,Croker Amazon,165.64573006507914,372560,1239
2010,Diamond Heights,456.9308221979013,372560,1239
2010,Downtown ,241.80455206485138,372560,1239
2010,Eureka Valley/Dolores Heights,403.1183126490986,372560,1239
2010,Excelsior,364.9283357085176,372560,1239
2010,Financial District North,401.7499665916537,372560,1239
2010,Financial District South,162.82121004772353,372560,1239
2010,Forest Knolls,209.04932663469452,372560,1239
2010,Glen Park,715.5864380979737,372560,1239
2010,Golden Gate Heights,551.8011188234774,372560,1239
2010,Haight Ashbury,254.47377914469143,372560,1239
2010,Hayes Valley,272.28497956385485,372560,1239
2010,Hunters Point,170.62491987132685,372560,1239
2010,Ingleside ,275.0566856099092,372560,1239
2010,Inner Mission,238.35002040677708,372560,1239
2010,Inner Parkside,199.7020037821992,372560,1239
2010,Inner Richmond,285.8223584886826,372560,1239
2010,Inner Sunset,275.76972957461044,372560,1239
2010,Jordan Park/Laurel Heights,419.8878118764657,372560,1239
2010,Lake --The Presidio,320.79691049204627,372560,1239
2010,Lone Mountain,398.4588759923028,372560,1239
2010,Lower Pacific Heights,374.05763601016844,372560,1239
2010,Marina,387.392839476922,372560,1239
2010,Miraloma Park,680.6087291389301,372560,1239
2010,Mission Bay,489.80537777998506,372560,1239
2010,Mission Dolores,257.9879986350069,372560,1239
2010,Mission Terrace,262.87602564056425,372560,1239
2010,Nob Hill,307.67747674427835,372560,1239
2010,Noe Valley,381.1384451470527,372560,1239
2010,Oceanview,282.11967050133603,372560,1239
2010,Outer Parkside,432.1952921124555,372560,1239
2010,Outer Richmond ,338.12619999607017,372560,1239
2010,Outer Sunset,368.31155203937294,372560,1239
2010,Pacific Heights,496.5160141469498,372560,1239
2010,Park North,326.01715041025074,372560,1239
2010,Parkside,274.1667415866912,372560,1239
2010,Parnassus/Ashbury Heights,434.25500394602585,372560,1239
2010,Portola,302.15611319728896,372560,1239
2010,Potrero Hill,491.45000385678617,372560,1239
2010,Presidio Heights,549.4179312485746,372560,1239
2010,Russian Hill,362.3482239131214,372560,1239
2010,South Beach,1037.0997886617895,372560,1239
2010,South of Market,401.2959764896399,372560,1239
2010,Sunnyside,542.5316819894505,372560,1239
2010,Telegraph Hill,524.7935090952678,372560,1239
2010,Twin Peaks,331.555996145607,372560,1239
2010,Union Square District,569.1934475267735,372560,1239
2010,Van Ness/ Civic Center,108.0129268765048,372560,1239
2010,West Portal,392.30076417058257,372560,1239
2010,Western Addition,215.56913431487553,372560,1239
2010,Yerba Buena,333.1267738419389,372560,1239
2011,Alamo Square,272.5273101795261,374507,1530
2011,Bayview,172.54056243085554,374507,1530
2011,Bernal Heights ,471.9217320911283,374507,1530
2011,Buena Vista Park,171.7723466866044,374507,1530
2011,Central Richmond,261.6638003416518,374507,1530
2011,Central Sunset,391.426449729962,374507,1530
2011,Clarendon Heights,520.718167530543,374507,1530
2011,Corona Heights,222.56784804769597,374507,1530
2011,Cow Hollow,390.5956530284181,374507,1530
2011,Croker Amazon,145.85338027594094,374507,1530
2011,Diamond Heights,382.35226106405867,374507,1530
2011,Downtown ,234.28162351035442,374507,1530
2011,Duboce Triangle,295.77937822922695,374507,1530
2011,Eureka Valley/Dolores Heights,413.16280403427527,374507,1530
2011,Financial District North,281.31290435728306,374507,1530
2011,Financial District South,354.66555789282774,374507,1530
2011,Glen Park,457.41388429762526,374507,1530
2011,Golden Gate Heights,348.92970004124925,374507,1530
2011,Haight Ashbury,392.3534509732681,374507,1530
2011,Hayes Valley,280.73063309393075,374507,1530
2011,Ingleside ,356.7090091359044,374507,1530
2011,Ingleside Heights,198.01587292452024,374507,1530
2011,Inner Mission,283.17495073168755,374507,1530
2011,Inner Richmond,360.03727240448274,374507,1530
2011,Inner Sunset,302.60448945564127,374507,1530
2011,Jordan Park/Laurel Heights,610.7666631577347,374507,1530
2011,Lake --The Presidio,330.10889435237306,374507,1530
2011,Lone Mountain,313.33845823084727,374507,1530
2011,Lower Pacific Heights,303.54419971618984,374507,1530
2011,Marina,390.8184689562141,374507,1530
2011,Miraloma Park,414.6760647760375,374507,1530
2011,Mission Bay,506.95217450146765,374507,1530
2011,Mission Dolores,293.4042461148187,374507,1530
2011,Nob Hill,340.6425969783877,374507,1530
2011,Noe Valley,373.9786870675523,374507,1530
2011,North Beach,290.9210327099608,374507,1530
2011,North Waterfront,346.9611600156022,374507,1530
2011,Outer Mission,142.14256751724554,374507,1530
2011,Outer Parkside,241.9456564918158,374507,1530
2011,Outer Richmond ,271.09013956932756,374507,1530
2011,Outer Sunset,297.2455578459466,374507,1530
2011,Pacific Heights,509.0214800287398,374507,1530
2011,Park North,289.60560009472283,374507,1530
2011,Parkside,217.55878684527903,374507,1530
2011,Parnassus/Ashbury Heights,466.61789765236534,374507,1530
2011,Portola,208.1679967483858,374507,1530
2011,Potrero Hill,503.13850456030497,374507,1530
2011,Presidio Heights,493.814917282618,374507,1530
2011,Russian Hill,448.32010421494044,374507,1530
2011,South Beach,388.64433678153864,374507,1530
2011,South of Market,337.9141346436501,374507,1530
2011,Sunnyside,437.1642994919766,374507,1530
2011,Telegraph Hill,483.40577251780013,374507,1530
2011,Twin Peaks,284.56696642681646,374507,1530
2011,Union Square District,302.1232528096913,374507,1530
2011,Van Ness/ Civic Center,384.23680203579306,374507,1530
2011,Western Addition,227.4189808649446,374507,1530
2011,Westwood Highlands,320.0743330547439,374507,1530
2011,Yerba Buena,438.86054508174806,374507,1530
2012,Alamo Square,183.09931693145703,376454,2324
2012,Anza Vista,344.4909139677922,376454,2324
2012,Bayview,165.7980623916543,376454,2324
2012,Bernal Heights ,368.2665607883851,376454,2324
2012,Buena Vista Park,338.60116351046344,376454,2324
2012,Central Richmond,279.0301399218751,376454,2324
2012,Central Sunset,334.4878725198492,376454,2324
2012,Corona Heights,356.79481359087254,376454,2324
2012,Cow Hollow,644.8183066758802,376454,2324
2012,Croker Amazon,415.0903401095623,376454,2324
2012,Diamond Heights,366.9954275112727,376454,2324
2012,Downtown ,269.109528813633,376454,2324
2012,Duboce Triangle,452.6600224298405,376454,2324
2012,Eureka Valley/Dolores Heights,524.8134180834782,376454,2324
2012,Excelsior,371.0302152741686,376454,2324
2012,Financial District North,286.35198206738914,376454,2324
2012,Financial District South,613.8430658201435,376454,2324
2012,Forest Knolls,434.63234651328025,376454,2324
2012,Haight Ashbury,418.83037933269526,376454,2324
2012,Hayes Valley,306.3779578647354,376454,2324
2012,Inner Mission,336.8259501844992,376454,2324
2012,Inner Richmond,373.4668636470579,376454,2324
2012,Inner Sunset,325.8289204181606,376454,2324
2012,Jordan Park/Laurel Heights,383.1503960980961,376454,2324
2012,Lake --The Presidio,380.5214843069476,376454,2324
2012,Lone Mountain,545.9801982412763,376454,2324
2012,Lower Pacific Heights,396.171112391617,376454,2324
